Sõna,Abstraktsus,Sagedus keeles,Sagedusgrupp keeles,Sagedusgrupp õpikuis,Sagedus õpikuis,Sagedus 123,Sagedus 4,Sagedus 5,Sagedus 6,Sagedus 7,Sagedus 8,Sagedus 9
lips,1,20,3,2,10,6,2,0,0,0,2,0
lipsama,-,15,3,-,0,0,0,0,0,0,0,0
lipukandja,1,5,5,-,0,0,0,0,0,0,0,0
lipuvarras,-,6,5,-,0,0,0,0,0,0,0,0
lisa,2,230,1,1,40,1,4,7,4,8,4,12
lisainfo,3,-,-,6,2,0,0,0,0,1,0,1
lisaküsimus,3,-,-,5,3,0,0,0,0,0,0,3
lisama,-,518,1,1,30,0,4,4,6,12,3,1
lisamaterjal,1,-,-,7,1,0,0,0,0,0,1,0
lisamine,2,5,5,-,0,0,0,0,0,0,0,0
lisand,3,8,4,-,0,0,0,0,0,0,0,0
lisanduma,-,70,1,7,1,0,0,0,0,1,0,0
lisatasu,3,-,-,7,1,0,0,0,0,0,0,1
lissut,-,-,-,7,1,1,0,0,0,0,0,0
literaat,1,5,5,-,0,0,0,0,0,0,0,0
litsuma,-,12,3,-,0,0,0,0,0,0,0,0
liud,-,6,5,-,0,0,0,0,0,0,0,0
liug,2,5,5,7,1,1,0,0,0,0,0,0
liuglema,-,8,4,7,1,1,0,0,0,0,0,0
liuguks,1,-,-,7,1,0,0,0,1,0,0,0
liustik,1,-,-,7,1,0,0,0,1,0,0,0
liuväli,1,12,3,5,3,2,0,0,0,0,1,0
lmi,-,-,-,7,1,1,0,0,0,0,0,0
loba,-,6,5,-,0,0,0,0,0,0,0,0
lobiseja,2,-,-,3,6,0,0,6,0,0,0,0
lobisema,-,22,2,2,15,0,0,10,0,1,3,1
lobisemissoov,3,-,-,7,1,0,0,1,0,0,0,0
loe,2,21,2,1,242,148,30,5,42,2,3,12
loend,3,-,-,7,1,0,0,0,0,1,0,0
loendama,-,5,5,3,6,5,1,0,0,0,0,0
loendamine,2,-,-,7,1,0,0,0,1,0,0,0
loeng,2,44,2,5,3,0,0,0,0,0,0,3
loengusari,2,8,4,-,0,0,0,0,0,0,0,0
loetav,-,-,-,7,1,0,0,0,0,1,0,0
loetelu,3,11,4,2,13,0,1,1,2,3,4,2
loetlema,-,12,3,6,2,0,1,0,0,0,0,1
loetu,2,6,5,2,10,0,2,1,3,0,2,2
loetus,3,-,-,7,1,0,0,0,0,0,0,1
logi,-,-,-,7,1,0,1,0,0,0,0,0
logisema,-,5,5,-,0,0,0,0,0,0,0,0
logo,2,-,-,3,8,0,0,0,0,0,2,6
lohakalt,-,7,5,7,1,0,0,0,1,0,0,0
lohakas,-,-,-,4,5,0,0,0,3,0,0,2
lohakas-korralik,-,-,-,7,1,0,0,0,1,0,0,0
lohakus,3,7,5,7,1,0,0,0,1,0,0,0
lohe,1,6,5,3,7,0,0,0,1,0,6,0
lohesõit,2,-,-,7,1,0,0,0,0,0,1,0
lohisema,-,11,4,-,0,0,0,0,0,0,0,0
lohistama,-,15,3,5,3,0,2,0,0,0,1,0
lohk,1,9,4,5,3,1,0,1,0,0,0,1
lohutama,-,39,2,3,6,0,0,5,0,0,0,1
lohutamine,3,-,-,7,1,0,0,1,0,0,0,0
lohutamistabel,2,-,-,6,2,0,0,2,0,0,0,0
lohutus,3,19,3,-,0,0,0,0,0,0,0,0
loid,-,9,4,-,0,0,0,0,0,0,0,0
loik,1,8,4,-,0,0,0,0,0,0,0,0
loit,2,8,4,-,0,0,0,0,0,0,0,0
loitsuraamat,1,-,-,6,2,0,2,0,0,0,0,0
lojaalne,-,11,4,-,0,0,0,0,0,0,0,0
lokirull,1,-,-,7,1,0,0,0,0,0,0,1
lokivedelik,1,-,-,7,1,0,0,0,0,0,0,1
lokivedeliku-lõhnaline,-,-,-,7,1,0,0,0,0,0,0,1
lokk,1,13,3,7,1,1,0,0,0,0,0,0
lokkav,-,7,5,-,0,0,0,0,0,0,0,0
lokkima,-,9,4,6,2,0,0,2,0,0,0,0
lokkis,-,5,5,7,1,0,0,1,0,0,0,0
loksuma,-,-,-,4,5,0,0,0,0,5,0,0
loksutama,-,6,5,7,1,0,0,0,0,1,0,0
loll,-,62,1,4,4,0,0,1,0,0,1,2
lollakas,-,13,3,7,1,0,0,0,0,0,0,1
lollitama,-,5,5,-,0,0,0,0,0,0,0,0
lollpea,3,-,-,7,1,0,0,0,0,0,0,1
lollus,3,18,3,7,1,0,0,0,0,0,0,1
lomp,1,6,5,2,19,12,0,1,0,0,1,5
lonkama,-,9,4,-,0,0,0,0,0,0,0,0
lonkima,-,14,3,-,0,0,0,0,0,0,0,0
lonks,2,-,-,7,1,1,0,0,0,0,0,0
lont,1,-,-,4,5,0,5,0,0,0,0,0
lonta-lonta,-,-,-,6,2,0,2,0,0,0,0,0
loobuma,-,157,1,4,4,0,0,0,0,1,0,3
loobumine,2,25,2,-,0,0,0,0,0,0,0,0
lood,1,8,4,1,357,71,63,42,67,33,42,39
loode,3,11,4,6,2,0,1,1,0,0,0,0
loodepoolseim,-,-,-,7,1,0,0,0,0,0,1,0
loodetav,-,5,5,-,0,0,0,0,0,0,0,0
loodetavasti,-,32,2,6,2,0,0,0,0,2,0,0
loodetuul,2,5,5,-,0,0,0,0,0,0,0,0
loodu,3,46,2,2,16,1,1,2,3,0,5,4
loodud,-,-,-,5,3,0,0,1,0,0,0,2
loodus,3,113,1,1,40,3,7,16,4,4,3,3
loodus@online.esi,-,-,-,7,1,0,0,0,0,0,0,1
loodusemärk,3,-,-,7,1,0,0,0,1,0,0,0
loodusetundja,3,-,-,7,1,0,0,0,1,0,0,0
loodusfilm,2,-,-,5,3,0,0,0,0,0,3,0
loodushoid,3,-,-,7,1,0,0,0,0,1,0,0
looduskaitse,3,-,-,3,9,3,0,0,6,0,0,0
looduskaitseala,1,-,-,7,1,0,0,0,1,0,0,0
looduskaitsja,2,-,-,6,2,0,0,0,0,0,2,0
looduskiri,2,-,-,7,1,0,0,0,0,0,0,1
looduslaps,2,-,-,7,1,0,0,0,1,0,0,0
looduslik,-,15,3,4,4,0,0,0,1,1,1,1
loodusmaja,1,-,-,7,1,0,0,0,0,0,1,0
loodusnähtus,2,-,-,3,6,0,0,0,0,5,0,1
looduspark,1,-,-,6,2,0,0,1,0,0,1,0
looduspilt,1,-,-,4,4,0,0,0,3,0,0,1
loodusteadlane,1,-,-,6,2,0,0,0,0,0,2,0
loodusteemaline,-,-,-,7,1,0,0,0,0,0,0,1
loodusõnnetus,2,-,-,6,2,0,0,0,0,0,1,1
loodusõpetus,2,-,-,3,8,0,7,1,0,0,0,0
loogika,3,28,2,6,2,0,0,0,0,0,0,2
loogiline,-,31,2,7,1,1,0,0,0,0,0,0
loogiliselt,-,5,5,-,0,0,0,0,0,0,0,0
looja,3,21,2,6,2,0,0,0,0,0,2,0
loojang,2,6,5,5,3,0,0,0,0,1,0,2
loojuma,-,9,4,-,0,0,0,0,0,0,0,0
loojuv,-,6,5,-,0,0,0,0,0,0,0,0
look,1,10,4,7,1,0,0,0,0,0,1,0
looklev,-,11,4,-,0,0,0,0,0,0,0,0
loom,1,203,1,1,145,42,30,4,24,6,6,33
looma,-,521,1,1,35,4,3,1,14,4,3,6
loomaaed,1,28,2,1,36,6,21,0,8,0,0,1
loomaarst,1,-,-,4,5,4,0,0,0,1,0,0
loomakaitseselts,1,5,5,-,0,0,0,0,0,0,0,0
loomake,1,5,5,6,2,0,0,0,1,0,0,1
loomakliinik,1,-,-,4,4,4,0,0,0,0,0,0
loomakujuline,-,-,-,7,1,0,0,0,0,1,0,0
loomalaps,1,-,-,6,2,2,0,0,0,0,0,0
loomaliha,1,8,4,-,0,0,0,0,0,0,0,0
loomalihas,1,-,-,7,1,0,0,0,0,1,0,0
loomanäitus,1,-,-,7,1,0,0,0,0,0,0,1
loomapark,1,-,-,4,4,0,4,0,0,0,0,0
loomapidaja,1,-,-,6,2,0,0,0,0,1,0,1
loomapidamine,2,-,-,5,3,0,0,0,0,0,0,3
loomapidamisvõimalus,3,-,-,7,1,0,0,0,0,1,0,0
loomastik,1,-,-,7,1,0,0,0,0,0,0,1
loomatohter,1,5,5,-,0,0,0,0,0,0,0,0
loomine,3,103,1,4,5,0,0,0,0,0,4,1
looming,3,75,1,5,3,0,2,0,0,0,0,1
loominguline,-,25,2,-,0,0,0,0,0,0,0,0
loomulik,-,78,1,7,1,0,0,0,0,0,0,1
loomulikkus,-,7,5,-,0,0,0,0,0,0,0,0
loomulikult,-,149,1,3,7,3,0,0,0,1,2,1
loomulikum,-,7,5,-,0,0,0,0,0,0,0,0
loomulikumalt,-,-,-,7,1,0,0,0,0,0,0,1
loomus,3,18,3,-,0,0,0,0,0,0,0,0
loop,1,-,-,7,1,0,0,0,0,0,0,1
loopima,-,30,2,3,9,0,0,3,0,2,4,0
loor,1,10,4,5,3,2,0,1,0,0,0,0
looritama,-,5,5,-,0,0,0,0,0,0,0,0
loos,1,7,5,7,1,0,0,0,1,0,0,0
loosung,-,19,3,-,0,0,0,0,0,0,0,0
lootma,-,390,1,2,17,0,0,4,6,2,1,4
loots,-,12,3,-,0,0,0,0,0,0,0,0
lootus,3,195,1,7,1,0,0,1,0,0,0,0
lootusetu,-,37,2,-,0,0,0,0,0,0,0,0
lootusetult,-,16,3,-,0,0,0,0,0,0,0,0
lootusetus,3,8,4,-,0,0,0,0,0,0,0,0
lootusrikas,-,6,5,-,0,0,0,0,0,0,0,0
lootustandev,-,7,5,-,0,0,0,0,0,0,0,0
loov,-,8,4,4,5,0,0,0,0,0,5,0
loovus,3,8,4,-,0,0,0,0,0,0,0,0
loovutama,-,20,3,7,1,0,0,0,0,0,1,0
loovutamine,2,7,5,-,0,0,0,0,0,0,0,0
lops,2,-,-,7,1,1,0,0,0,0,0,0
loss,1,16,3,3,7,3,0,0,2,0,1,1
lossi,-,19,3,3,8,5,0,0,1,0,2,0
lossihoov,1,-,-,7,1,0,0,0,0,0,0,1
lossikoer,1,-,-,7,1,0,0,1,0,0,0,0
lossima,-,10,4,7,1,0,0,0,0,0,1,0
lossis,-,-,-,3,7,6,0,1,0,0,0,0
lossivare,1,-,-,7,1,0,0,0,0,0,0,1
loterii,2,22,2,6,2,0,0,0,0,0,0,2
loteriipilet,1,5,5,-,0,0,0,0,0,0,0,0
loteriivõit,2,-,-,7,1,0,0,1,0,0,0,0
loto,2,-,-,6,2,2,0,0,0,0,0,0
lovi,-,8,4,-,0,0,0,0,0,0,0,0
luba,3,84,1,2,18,4,1,3,0,0,8,2
lubadus,3,58,1,6,2,0,0,0,1,0,0,1
lubama,-,552,1,1,57,3,11,6,4,6,10,17
lubamatu,-,13,3,-,0,0,0,0,0,0,0,0
lubav,-,-,-,6,2,0,0,0,0,0,0,2
lubjakivi,1,-,-,4,4,0,0,0,4,0,0,0
lug,-,-,-,7,1,0,1,0,0,0,0,0
lugeja,1,76,1,3,7,0,3,3,1,0,0,0
lugejakaart,1,-,-,4,4,0,4,0,0,0,0,0
lugejakiri,2,5,5,-,0,0,0,0,0,0,0,0
lugem,3,-,-,6,2,0,0,0,0,0,2,0
lugema,-,525,1,1,351,110,56,59,59,20,18,29
lugemata,-,-,-,6,2,0,0,0,0,0,0,2
lugematu,-,12,3,-,0,0,0,0,0,0,0,0
lugemik,1,-,-,7,1,0,0,0,0,0,1,0
lugemine,2,46,2,1,487,3,134,86,64,64,69,67
lugemiseelistus,3,-,-,7,1,0,0,1,0,0,0,0
lugemiseelne,-,-,-,7,1,0,0,0,1,0,0,0
lugemisharjumus,3,-,-,6,2,0,0,2,0,0,0,0
lugemisnurk,1,-,-,3,8,8,0,0,0,0,0,0
lugemisosku,2,-,-,7,1,0,0,0,0,0,1,0
lugemispala,2,-,-,6,2,0,1,0,0,0,1,0
lugemissaal,1,6,5,-,0,0,0,0,0,0,0,0
lugemissoov,3,-,-,7,1,0,0,1,0,0,0,0
lugemistekst,2,-,-,4,5,0,0,0,0,2,3,0
lugu,3,396,1,1,58,0,11,22,7,3,6,9
lugupeetu,1,11,4,3,8,1,3,1,1,1,0,1
lugupeetud,-,9,4,6,2,0,0,0,0,0,0,2
lugupidamine,3,15,3,6,2,0,0,0,0,0,2,0
luht,1,9,4,7,1,1,0,0,0,0,0,0
luide,1,-,-,5,3,0,0,0,0,0,3,0
luigetiik,1,-,-,7,1,0,0,1,0,0,0,0
luik,1,59,1,3,8,1,0,2,3,0,0,2
luiskama,-,6,5,-,0,0,0,0,0,0,0,0
luituma,-,-,-,6,2,2,0,0,0,0,0,0
lukk,1,37,2,3,6,3,0,1,1,1,0,0
lukku,-,18,3,-,0,0,0,0,0,0,0,0
luksus,3,9,4,-,0,0,0,0,0,0,0,0
luksuslik,-,8,4,4,4,0,0,0,0,0,0,4
lukustama,-,18,3,7,1,0,0,0,0,0,0,1
lume-hange,-,-,-,7,1,1,0,0,0,0,0,0
lumehang,1,-,-,2,10,8,2,0,0,0,0,0
lumehelbeke,1,-,-,4,4,3,0,1,0,0,0,0
lumehelve,1,-,-,6,2,2,0,0,0,0,0,0
lumehelves,1,-,-,7,1,1,0,0,0,0,0,0
lumeinimene,3,-,-,7,1,1,0,0,0,0,0,0
lumekindlus,1,-,-,4,4,4,0,0,0,0,0,0
lumekuninganna,3,-,-,4,5,5,0,0,0,0,0,0
lumelabidas,1,-,-,7,1,1,0,0,0,0,0,0
lumelaud,1,-,-,1,23,22,0,0,0,0,1,0
lumelauduri,1,-,-,7,1,0,0,0,0,0,1,0
lumelaviin,1,-,-,7,1,0,0,0,0,1,0,0
lumelell,3,-,-,7,1,1,0,0,0,0,0,0
lumelinn,1,-,-,3,6,4,0,2,0,0,0,0
lumemees,1,-,-,4,4,0,0,4,0,0,0,0
lumememm,1,6,5,1,57,32,1,24,0,0,0,0
lumemüts,1,-,-,7,1,1,0,0,0,0,0,0
lumepall,1,-,-,7,1,0,0,0,0,0,0,1
lumerebane,1,-,-,7,1,1,0,0,0,0,0,0
lumesaabas,1,-,-,7,1,1,0,0,0,0,0,0
lumesadu,2,7,5,4,4,4,0,0,0,0,0,0
lumesahk,1,-,-,5,3,2,0,0,0,0,0,1
lumesõda,2,-,-,3,9,9,0,0,0,0,0,0
lumetorm,2,7,5,7,1,0,0,1,0,0,0,0
lumetuisk,2,-,-,7,1,1,0,0,0,0,0,0
lumeveski,1,-,-,5,3,3,0,0,0,0,0,0
lumi,1,149,1,1,142,115,3,9,8,0,0,7
lumikate,1,-,-,6,2,0,0,0,0,0,0,2
lumikelluke,1,-,-,2,12,10,0,1,1,0,0,0
lumine,-,18,3,4,5,0,2,1,2,0,0,0
lumivalgeke,1,-,-,4,5,3,0,0,2,0,0,0
lumivalguke,1,-,-,7,1,1,0,0,0,0,0,0
lumm,3,10,4,7,1,0,0,0,0,0,0,1
lummus,3,10,4,-,0,0,0,0,0,0,0,0
lunastama,-,14,3,-,0,0,0,0,0,0,0,0
lurjus,1,10,4,-,0,0,0,0,0,0,0,0
lusikas,1,19,3,3,7,5,1,0,0,1,0,0
lust,3,18,3,3,7,2,0,0,0,5,0,0
lustilik,-,-,-,7,1,1,0,0,0,0,0,0
lustlik,-,-,-,4,4,4,0,0,0,0,0,0
lutikas,1,5,5,-,0,0,0,0,0,0,0,0
luts,1,26,2,3,6,1,0,0,0,0,5,0
lutt,1,-,-,7,1,0,0,1,0,0,0,0
luu,1,16,3,5,3,2,0,0,0,1,0,0
luuavars,1,6,5,-,0,0,0,0,0,0,0,0
luud,1,-,-,2,12,7,2,2,1,0,0,0
luuk,-,24,2,-,0,0,0,0,0,0,0,0
luukere,1,9,4,-,0,0,0,0,0,0,0,0
luul,-,9,4,-,0,0,0,0,0,0,0,0
luule,2,38,2,5,3,2,0,1,0,0,0,0
luulekogu,1,6,5,-,0,0,0,0,0,0,0,0
luuleraamat,1,-,-,4,4,0,4,0,0,0,0,0
luulerida,2,-,-,7,1,0,0,0,0,0,0,1
luuletaja,1,28,2,5,3,0,1,1,0,0,0,1
luuletama,-,10,4,-,0,0,0,0,0,0,0,0
luuletamine,2,-,-,7,1,0,1,0,0,0,0,0
luuletus,2,69,1,1,75,29,19,16,11,0,0,0
luup,1,13,3,-,0,0,0,0,0,0,0,0
luuraja,1,5,5,-,0,0,0,0,0,0,0,0
luurama,-,10,4,-,0,0,0,0,0,0,0,0
luure,2,11,4,-,0,0,0,0,0,0,0,0
luustik,1,9,4,-,0,0,0,0,0,0,0,0
läbi,-,1012,1,1,146,39,20,7,14,15,12,39
läbielamine,3,7,5,-,0,0,0,0,0,0,0,0
läbielatud,-,6,5,-,0,0,0,0,0,0,0,0
läbikäimine,3,9,4,-,0,0,0,0,0,0,0,0
läbima,-,135,1,1,24,2,0,0,2,3,10,7
läbimine,2,5,5,-,0,0,0,0,0,0,0,0
läbimärg,-,9,4,6,2,0,0,0,2,0,0,0
läbimõeldult,-,-,-,7,1,0,0,0,0,0,0,1
läbimõõt,2,11,4,-,0,0,0,0,0,0,0,0
läbimüük,2,16,3,-,0,0,0,0,0,0,0,0
läbini,-,5,5,-,0,0,0,0,0,0,0,0
läbinisti,-,7,5,-,0,0,0,0,0,0,0,0
läbiotsimine,2,23,2,-,0,0,0,0,0,0,0,0
läbipaistev,-,24,2,4,4,0,0,0,0,0,1,3
läbipõimunud,-,-,-,7,1,0,0,1,0,0,0,0
läbipõlenud,-,-,-,7,1,0,0,0,0,0,1,0
läbirändaja,1,-,-,7,1,0,0,0,0,1,0,0
läbirääkimine,2,134,1,-,0,0,0,0,0,0,0,0
läbisaamine,3,8,4,4,4,0,0,0,0,0,4,0
läbisegi,-,11,4,6,2,0,0,1,1,0,0,0
läbiv,-,8,4,-,0,0,0,0,0,0,0,0
läbivaatamine,2,9,4,-,0,0,0,0,0,0,0,0
läbivaatus,2,5,5,-,0,0,0,0,0,0,0,0
läbiviimine,3,18,3,-,0,0,0,0,0,0,0,0
läeb,-,-,-,7,1,0,0,0,1,0,0,0
lähe,2,14,3,5,3,2,1,0,0,0,0,0
lähedal,-,131,1,2,19,0,2,4,3,3,3,4
lähedale,-,28,2,4,4,0,0,0,0,2,1,1
lähedalt,-,17,3,4,4,0,1,1,0,2,0,0
lähedane,2,57,1,3,9,0,0,0,0,2,5,2
lähedasem,-,11,4,7,1,0,0,0,0,0,0,1
lähedus,3,69,1,5,3,0,0,0,0,3,0,0
lähem,-,44,2,4,4,0,1,2,1,0,0,0
lähemal,-,41,2,5,3,0,2,0,0,0,0,1
lähemale,-,76,1,5,3,1,0,0,1,1,0,0
lähemalt,-,37,2,4,5,0,3,0,0,0,1,1
lähendama,-,6,5,-,0,0,0,0,0,0,0,0
lähenema,-,96,1,4,5,0,0,2,2,0,1,0
lähenemine,2,31,2,5,3,0,0,0,1,0,0,2
lähenev,-,27,2,6,2,0,0,0,0,0,0,2
lähetama,-,5,5,-,0,0,0,0,0,0,0,0
lähikond,2,5,5,-,0,0,0,0,0,0,0,0
lähim,-,34,2,7,1,0,0,0,0,0,1,0
lähiminevik,3,6,5,-,0,0,0,0,0,0,0,0
lähis,2,5,5,-,0,0,0,0,0,0,0,0
lähistel,-,7,5,-,0,0,0,0,0,0,0,0
lähitulevik,3,16,3,-,0,0,0,0,0,0,0,0
lähiümbrus,3,5,5,-,0,0,0,0,0,0,0,0
lähtekoht,2,-,-,6,2,0,0,0,1,0,1,0
lähtuma,-,86,1,-,0,0,0,0,0,0,0,0
lähtuv,-,6,5,-,0,0,0,0,0,0,0,0
lähtuvalt,-,13,3,-,0,0,0,0,0,0,0,0
läige,2,9,4,7,1,1,0,0,0,0,0,0
läikiv,-,30,2,6,2,0,0,0,0,0,0,2
läind,-,-,-,6,2,1,0,0,0,0,0,1
läinu,3,83,1,3,6,5,0,0,1,0,0,0
läinud,-,5,5,-,0,0,0,0,0,0,0,0
läitma,-,9,4,-,0,0,0,0,0,0,0,0
läki,-,-,-,6,2,0,2,0,0,0,0,0
läkitama,-,22,2,-,0,0,0,0,0,0,0,0
läkitus,-,10,4,-,0,0,0,0,0,0,0,0
lämbuma,-,12,3,-,0,0,0,0,0,0,0,0
lämmatama,-,17,3,-,0,0,0,0,0,0,0,0
läppuma,-,7,5,-,0,0,0,0,0,0,0,0
lärm,2,16,3,5,3,0,1,1,0,0,0,1
lärmakas,-,8,4,-,0,0,0,0,0,0,0,0
lärmama,-,5,5,4,5,0,0,0,4,0,0,1
läti,-,9,4,5,3,0,0,2,1,0,0,0
lätlane,2,22,2,6,2,0,0,1,1,0,0,0
lävi,1,21,2,7,1,1,0,0,0,0,0,0
lävima,-,7,5,-,0,0,0,0,0,0,0,0
lääge,-,7,5,-,0,0,0,0,0,0,0,0
lään,3,6,5,-,0,0,0,0,0,0,0,0
läänelik,-,-,-,4,4,0,0,0,0,0,4,0
läänemaailm,3,5,5,-,0,0,0,0,0,0,0,0
läänemere,-,-,-,7,1,0,0,1,0,0,0,0
läänepoolne,-,6,5,7,1,0,0,1,0,0,0,0
läänepoolsem,-,-,-,7,1,0,0,1,0,0,0,0
läänetuul,2,-,-,7,1,0,1,0,0,0,0,0
lääs,3,145,1,2,14,0,7,3,0,0,4,0
lääts,1,7,5,-,0,0,0,0,0,0,0,0
lõbu,3,25,2,4,5,1,0,1,1,1,0,1
lõbumaja,1,8,4,-,0,0,0,0,0,0,0,0
lõbus,-,38,2,1,51,27,3,8,8,1,1,3
lõbusalt,-,-,-,3,8,5,0,2,1,0,0,0
lõbusam,-,7,5,4,5,4,1,0,0,0,0,0
lõbustama,-,12,3,-,0,0,0,0,0,0,0,0
lõbustuskoht,1,-,-,7,1,0,0,0,0,0,0,1
lõbustuspark,1,-,-,7,1,0,0,1,0,0,0,0
lõbutsema,-,5,5,7,1,0,0,0,0,1,0,0
lõdin,2,-,-,7,1,0,0,0,1,0,0,0
lõdisema,-,-,-,4,5,0,0,0,5,0,0,0
lõdisev,-,-,-,6,2,0,0,0,2,0,0,0
lõgistama,-,-,-,7,1,0,0,0,0,0,0,1
lõhe,1,10,4,7,1,0,0,1,0,0,0,0
lõhenema,-,6,5,-,0,0,0,0,0,0,0,0
lõhestama,-,6,5,-,0,0,0,0,0,0,0,0
lõhk,2,-,-,7,1,0,0,0,1,0,0,0
lõhkeaine,1,6,5,-,0,0,0,0,0,0,0,0
lõhkema,-,12,3,6,2,0,0,0,0,2,0,0
lõhki,-,28,2,6,2,0,2,0,0,0,0,0
lõhkine,-,5,5,-,0,0,0,0,0,0,0,0
lõhkuma,-,62,1,4,5,0,0,0,3,1,0,1
lõhkumata,-,-,-,7,1,0,0,0,0,1,0,0
lõhkumine,2,10,4,7,1,0,0,0,1,0,0,0
lõhmus,1,21,2,-,0,0,0,0,0,0,0,0
lõhn,2,106,1,3,8,5,0,0,0,1,2,0
lõhnama,-,67,1,5,3,0,0,0,2,1,0,0
lõhnav,-,14,3,-,0,0,0,0,0,0,0,0
lõhnaõli,1,-,-,7,1,0,1,0,0,0,0,0
lõige,2,15,3,7,1,0,0,0,0,1,0,0
lõik,2,16,3,1,44,0,11,5,2,6,9,11
lõikama,-,143,1,1,25,4,4,6,4,2,2,3
lõikav,-,9,4,-,0,0,0,0,0,0,0,0
lõikuma,-,7,5,7,1,0,0,0,0,0,0,1
lõikus,2,14,3,6,2,0,0,0,0,0,0,2
lõikuskuu,2,5,5,-,0,0,0,0,0,0,0,0
lõke,2,26,2,2,13,1,0,2,3,0,0,7
lõkkeplats,1,-,-,7,1,0,0,0,1,0,0,0
lõkkeõhtu,2,-,-,7,1,0,0,1,0,0,0,0
lõks,-,16,3,-,0,0,0,0,0,0,0,0
lõng,1,18,3,7,1,0,0,0,0,0,0,1
lõoke,1,7,5,4,5,5,0,0,0,0,0,0
lõpetaja,-,14,3,-,0,0,0,0,0,0,0,0
lõpetama,-,303,1,1,90,17,18,11,9,14,6,15
lõpetamata,-,8,4,6,2,0,0,0,0,2,0,0
lõpetamine,2,51,2,2,13,0,0,2,0,2,0,9
lõpetanu,-,40,2,-,0,0,0,0,0,0,0,0
lõpetus,2,9,4,-,0,0,0,0,0,0,0,0
lõplik,-,55,1,-,0,0,0,0,0,0,0,0
lõplikult,-,71,1,6,2,0,0,2,0,0,0,0
lõpma,-,-,-,7,1,0,0,0,0,1,0,0
lõpmatu,-,8,4,-,0,0,0,0,0,0,0,0
lõpmatus,3,14,3,-,0,0,0,0,0,0,0,0
lõpp,2,515,1,1,289,7,72,46,52,31,28,53
lõpp-peatuma,-,-,-,7,1,0,0,0,0,0,1,0
lõpp-peatus,1,-,-,6,2,0,0,0,1,0,1,0
lõppema,-,257,1,1,33,6,4,5,9,3,1,5
lõppemine,2,15,3,-,0,0,0,0,0,0,0,0
lõppjaam,1,-,-,5,3,0,0,0,3,0,0,0
lõppkokkuvõte,-,10,4,-,0,0,0,0,0,0,0,0
lõpptulemus,3,5,5,-,0,0,0,0,0,0,0,0
lõpueksam,2,-,-,6,2,0,0,0,0,0,0,2
lõpujoon,1,5,5,-,0,0,0,0,0,0,0,0
lõpuks,-,383,1,1,46,5,4,5,6,10,14,2
lõpupoole,-,7,5,-,0,0,0,0,0,0,0,0
lõpus,1,33,2,4,4,0,2,1,0,1,0,0
lõputu,-,36,2,-,0,0,0,0,0,0,0,0
lõputult,-,19,3,-,0,0,0,0,0,0,0,0
lõputunnistus,1,12,3,-,0,0,0,0,0,0,0,0
lõpuõhtu,2,-,-,7,1,0,0,0,1,0,0,0
lõrbenud,-,-,-,7,1,0,0,0,0,0,0,1
lõrts,-,-,-,7,1,0,0,0,0,0,0,1
lõtv,-,21,2,-,0,0,0,0,0,0,0,0
lõtvuma,-,6,5,-,0,0,0,0,0,0,0,0
lõug,1,61,1,3,6,0,0,2,0,4,0,0
lõuna,2,99,1,1,35,5,16,6,2,0,5,1
lõuna-ja,-,-,-,7,1,0,0,0,0,1,0,0
lõuna-matkarada,1,-,-,7,1,0,0,0,0,0,1,0
lõunalaud,1,8,4,-,0,0,0,0,0,0,0,0
lõunamaa,1,-,-,6,2,1,0,0,0,0,0,1
lõunameri,1,-,-,6,2,0,0,0,2,0,0,0
lõunapoolkera,1,-,-,6,2,0,0,0,1,0,0,1
lõunapoolne,-,-,-,6,2,0,0,2,0,0,0,0
lõunapoolsem,-,-,-,4,4,0,0,4,0,0,0,0
lõunasöök,2,12,3,3,6,2,1,0,2,1,0,0
lõunatipp,3,-,-,7,1,0,0,0,0,0,1,0
lõunatund,2,5,5,-,0,0,0,0,0,0,0,0
lõvi,1,39,2,2,16,6,5,1,0,1,1,2
lõõmama,-,10,4,-,0,0,0,0,0,0,0,0
lõõtspill,1,-,-,7,1,0,0,0,0,0,0,1
lömastama,-,7,5,-,0,0,0,0,0,0,0,0
lösutama,-,11,4,-,0,0,0,0,0,0,0,0
löök,2,61,1,5,3,0,0,0,3,0,0,0
lööm,2,-,-,6,2,2,0,0,0,0,0,0
lööma,-,322,1,1,56,20,9,2,8,6,3,8
löömine,2,19,3,-,0,0,0,0,0,0,0,0
lühem,-,38,2,2,21,8,8,3,1,0,0,1
lühemalt,-,-,-,7,1,0,0,0,0,0,0,1
lühend,3,-,-,1,28,0,15,0,0,10,1,2
lühendama,-,-,-,4,4,0,0,1,0,3,0,0
lühendamine,2,-,-,5,3,0,0,0,0,2,1,0
lühendatult,-,-,-,7,1,0,0,0,0,1,0,0
lühenema,-,-,-,7,1,0,0,0,0,0,1,0
lühiajaline,-,12,3,-,0,0,0,0,0,0,0,0
lühidalt,-,43,2,2,11,2,0,0,2,0,1,6
lühiettekanne,2,-,-,7,1,0,0,0,1,0,0,0
lühiinfo,3,-,-,7,1,0,0,0,1,0,0,0
lühike,-,136,1,1,116,65,13,11,9,4,5,9
lühikirjand,3,-,-,6,2,0,0,0,2,0,0,0
lühikokkuvõte,3,-,-,7,1,0,0,0,0,0,1,0
